str1,str2
a=,z=
16 \pi,"[60,70]"
(F / /,(x)
"[20,40)",60 \sim 65
"x, y",\left\{a_{n}\right\}
\Omega,"(-\infty, a)"
a,A C=4
a \perp l,\sqrt{3}+1
\triangle() A B,\triangle A B C
y^{2}=8 x,\ln |x-y|<0
T_{n},T_{n}
-\frac{1}{2},c<\frac{1}{4}
+\infty),(x)
\left\{a_{n}\right\},\left\{a_{n}\right\}
y=2 a,\ln |x-y|<0
"a, b(a<b)",60 \sim 65
y=\frac{x}{3},y=\sin x
2 \sqrt{6},\sqrt{3}+1
y=k x,z=\sin x
\Lambda Q \perp P(,"[60, B C"
"D, E, G",\ln |x-y|<0
y=f(x),60 \sim 65
"[-\pi, \pi]",\ln |x-y|<0
l / / a,m / / n
A E,\triangle B C
x^{3},a_{i}=
P() \perp,(x)
A B C D,\triangle B C C
x \in \mathbf{R},\ln |x-y|<0
3 \overrightarrow{C E},a_{i}=
"(0,1]","(0,1)"
C,T_{n}
\triangle A B C,\triangle A B C
a_{7}=4,c<\frac{1}
b=e-a-1,x+y+8=x y
x^{\prime},S_{5}
"t \in[-2,2]",\sqrt{3}+1
\left\{a_{n}\right\},\left\{a_{n}\right\}
A_{1},A_{1}
"[50,60)",60 \sim 65
26 \pi,60 \sim 65
f^{\prime}(-1),y=\sin x
C F=,\left\{a_{n}\right\}
P F_{1},f(x)
M D \perp C D,60 \sim 65
b_{8},T_{n}
4\},\boldsymbol{e}_{1}
y=f(x),60 \sim 65
x^{6},-\frac{3}{2}
y=f(x),-\frac{\pi}{6}
C_{1},S_{5}
x,\neg p
S_{n},"(-\infty, a)"
\frac{3 \pi}{2},\frac{16}{3}
2 x-y-2=0,60 \sim 65
"E(2,1)",\ln |x-y|<0
y=f(x),y)
b=\sqrt{3},\sqrt{3}+1
-\frac{1}{10},\triangle B P Q
a_{1}=a,\ln |x-y|<0
-\sqrt{3}-i,"[1,3]"
"[1,2]","\{2,3,4\}"
"b=(2,3,1)",y=\sin x-
k \in \mathbf{R},\sqrt{3}
A_{1} P,T_{n}
\frac{\pi}{3},\frac{16}{3}
g(x),"(-\infty, a)"
x>0,\sqrt{3}
a_{n}>0,y+5=0
y=\sin x^{2},y=\sin x
N(N \geqslant 2),60 \sim 65
|\overrightarrow{A B}|=,"[1,3]"
a=\sqrt{3},\sqrt{3}+1
g(a)<0,60 \sim 65
x^{2}<x,\left\{a_{n}\right\}
S_{n},\sqrt{3}+1
|\boldsymbol{a}|,"[0,1]"
\lambda=,S_{5}
f(x),f(x)
m \perp \alpha,a_{i}=
f(x),\left\{a_{n}\right\}
P A=A B=2,\ln |x-y|<0
k=1,A D_{1}
P_{:-} A,c<\frac{1}
\triangle A B C,\triangle B P Q
"(0,2)","(-\infty, a)"
l_{1},A D_{1}
c=-a-b-1,\triangle B C a)
2 n,\left\{a_{n}\right\}
S_{n},\sqrt{3}+1
b=-3,A C=4
y=f(x),\ln |x-y|<0
y^{2}=2 x,c<\frac{1}{4}
\left\{a_{n}\right\},\left\{a_{n}\right\}
"P(x, y)",80 \%
\pm 4,c_{1}
y^{2}=x,\left\{a_{n}\right\}
C_{2},"(0,1)"
"a, b",\left\{a_{n}\right\}
"(0,1)","(0,1)"
f(f(-3))=,60 \sim 65
f(x),f(x)
B M,\sqrt{3}
b,\left\{a_{n}\right\}
\left\{a_{n}\right\},\left\{a_{n}\right\}
a>0,"(-\infty, a)"
f(x),f(x)
f(x)=,"(0,1)"
c<a<b,\sqrt{3}+1
f(x),f(x)
A C_{1},A C=4
"[-\pi, \pi]",\ln |x-y|<0
h^{\prime}(x),f(x)
c>b>a,"(0,1)"
T_{1},A D_{1}
x=-1,A C=4
a<1,\boldsymbol{e}_{1}
S_{n},\frac{16}{3}
\left\{a_{n}\right\},\left\{a_{n}\right\}
f(x),(x)
\sqrt{2},\sqrt{3}+1
\frac{1}{2},\frac{\pi}{3}
a \in \mathbf{R},S_{5}
a_{n}=,a_{i}=
\frac{8}{3},\frac{\pi}{3}
S_{n},\frac{1}{3}
f^{\prime}(1)=,f(x)
4+2 \sqrt{3},\triangle B P Q
f(x),f(x)
\left\{a_{n}\right\},\left\{a_{n}\right\}
\triangle B C D,\triangle A B C
A F,T_{n}
\sqrt{10},A D_{1}
x=\frac{1}{2},c<\frac{1}{4}
a_{2020}=,\ln |x-y|<0
P D=A D=1,"A x, y+1]"
P B=2,\ln |x-y|<0
P_{3},\boldsymbol{F}_{1}
\left\{a_{n}\right\} \mid,\left\{a_{n}\right\}
S_{100},\left\{a_{n}\right\}
a \perp b,\sqrt{3}+1
"[94,98)",\ln |x-y|<0
\mathbf{R},\frac{16}{3}
x+y=2,\left\{a_{n}\right\}
y=-3 x+b,y=\sin x
|A F|=6,A C=4
a / / b,m / / n
C C_{1},"(0,1)"
"F(4,0)","(-\infty, a)"
\overrightarrow{A M},\triangle B C
2 x+y-2=0,\ln |x-y|<0
|A F|+,x_{1}
y^{2}=8 x,x+y+8=x y
C_{0},\left\{a_{n}\right\}
B C=2,\left\{a_{n}\right\}
\left\{b_{n}\right\},\left\{a_{n}\right\}
S_{4}=20,"(-\infty, a)"
\left\{a_{n}\right\},\left\{a_{n}\right\}
k+1,\left\{a_{n}\right\}
\left\{a_{n}\right\},\left\{a_{n}\right\}
\tan \beta,\sqrt{3}+1
x+,c<\frac{1}{4}
"\geqslant 0,",\boldsymbol{e}_{1}
a<c<b,\left\{a_{n}\right\}
f(x),c<\frac{16}
g(x)+h(x),60 \sim 65
y=f(x),(x)
P-A B(I),\ln |x-y|<0
P F_{1},F_{1}
\left\{a_{n}\right\},\left\{a_{n}\right\}
\mathrm{BC}=1,A C=4
"P(0,1)",\left\{a_{n}\right\}
f(x)-a x=,60 \sim 65
x=\frac{\pi}{2},-\frac{\pi}{6}
S_{4},\frac{16}{3}
\triangle O A B,\triangle A B C
\left\{a_{n}\right\},\left\{a_{n}\right\}
"B(2,1)","(-\infty, a)"
"a>0, b=1",x+y+8=x y
C_{2},(\rho \geqslant 0)
f(0)=,\ln |x-y|<0
4 E,T_{n}
"0,1,2,3,4","[60,70]"
f(x),f(x)
"(4,1)",\left\{a_{n}\right\}
p(0<p<1),\triangle A B C
"B(1,3)","(0,1)"
x_{1},A_{1}
A \in l,\sqrt{3}
\left\{a_{n}\right\},\left\{a_{n}\right\}
x>0,>0
B D,\sqrt{3}+1
\left\{b_{n}\right\},\left\{a_{n}\right\}
F_{1}(-5,-\frac{\pi}{6}
x<0,>0
\left\{a_{n}\right\},\left\{a_{n}\right\}
m / / n,\left\{a_{n}\right\}
\frac{2}{3},\frac{\pi}{3}
\frac{7}{9},\left\{a_{n}\right\}
g(x),g(x)
\triangle \Lambda E F,\triangle A B C
"x \in[0,1]",\ln |x-y|<0
2 x+m=0,\ln |x-y|<0
m / / n,m / / n
\frac{4}{3},\frac{\pi}{3}
f(x),f(x)
y=f(x),"(0,1)"
y=f(x),y)
g(x),f(x)
-\frac{1}{64},F_{2}
a>b>c,c<\frac{1}{4}
"M(1,1)",\left\{a_{n}\right\}
a \in \mathbf{R},A C=x
a=8,\sqrt{3}+1
"(-\infty, 0)","(-\infty, a)"
a=b,c<\frac{1}{4}
\overrightarrow{O C},\sqrt{3}
x+2=0,\ln |x-y|<0
-\frac{3}{4},-\frac{3}{2}
A B=4,A C=4
f(x),f(x)
f^{\prime}(x),"(0,1)"
-3,\sqrt{3}+1
[x],"[0,1]"
(2 \sqrt{2},\left\{a_{n}\right\}
f(x),f(x)
A_{1} B,A C=4
b=2,\triangle B C
"A(4,0)","(-\infty, a)"
\left\{a_{n}\right\},\left\{a_{n}\right\}
B M \neq E N,A C \perp B C
f(x),f(x)
\overrightarrow{B E}=,\sqrt{3}+1
m \in \mathbf{R},\left\{a_{n}\right\}
f(x)>0,60 \sim 65
i=j+1,F_{1}
"A(1,1)","(-\infty, a)"
x<0 ?,\triangle B C C
\frac{c}{b}=,-\frac{3}{2}
\frac{3}{5},\frac{\pi}{3}
a_{n},-\frac{3}{2}
f(x),f(x)
\overrightarrow{O B},S_{5}
i=i+1,\boldsymbol{F}_{1}
10,"(0,1)"
+\infty),"(0,1)"
C_{1},"\{2,3,4\}"
A B C D,\ln |x-y|<0
g(x)=,\neg p
A_{1},c_{1}
P F_{1},\left\{a_{n}
x<0,>0
\angle B=,\triangle B C C
4 \sqrt{10},\sqrt{3}+1
f(x),f(x)
x+y,\left\{a_{n}\right\}
D(X),f(x)
\triangle O F A,\triangle A B C
\alpha \neq \beta,\left\{a_{n}\right\}
m+2 n,\ln |x-y|<0
F_{2},\left\{a_{n}\right\}
f(x),(x)
g(x),"(0, a)"
\frac{5}{2},\frac{\pi}{3}
|a|=|b|=1,\ln |x-y|<0
\left\{a_{n}\right\},\left\{a_{n}\right\}
i,A B=2
g(x),g(x)
e(x-1)+2,\ln |x-y|<0
\frac{1}{1+x},F_{1}
\sqrt{2},\sqrt{3}
\sqrt{5},\sqrt{3}+1
F-A E-P,\left\{a_{n}\right\}
k=-1,c_{m}
g(x)=k x,\ln |x-y|<0
x \geqslant 1,c<\frac{1}{4}
F_{2},T_{n}
y=-2 x-1,y=\sin x
a+2 b \geqslant 9,\sqrt{3}+1
\lambda>0,>0
f(x) g(x),"(-\infty, a)"
\frac{\ln x}{a},\left\{a_{n}\right\}
"P(3,","(0,1)"
F_{2},T_{n}
8+8 \pi,\ln |x-y|<0
C C_{1},60 \%
u=\ln y,y=\sin x
I^{\prime}(A),\left\{a_{n}\right\}
-2 \pi,-\frac{\pi}{6}
c(b-a)>0,60 \sim 65
f(x),y=\sin x
y=(m-1) x,\ln |x-y|<0
"x \in[m,+\infty)",\ln |x-y|<0
\frac{5}{2},\frac{16}{3}
4+8 i,\left\{a_{n}\right\}
40 x^{2},60 \sim 65
f(x),f(x)
45^{\circ},\sqrt{3}+1
\frac{1}{4},\frac{1}{3}
p(t),(\rho \geqslant 0)
B C=6,60 \sim 65
C_{3},S_{5}
45^{\circ},A C=4
"[-1,1]","[t, y+1]"
S_{6}=60,\ln |x-y|<0
b>0,\sqrt{3}+1
x \geqslant 0,>0
"A(1,0)","(-\infty, a)"
|B F|=8,"[60,70]"
-4 i,\boldsymbol{e}_{1}
x \in D,"(0,1)"
"N=0, T=0",60 \sim 65
x \cdot y,\left\{a_{n}\right\}
"(x, y)","(0,1)"
\triangle P A B,\triangle A B C
S-A D-M,\left\{a_{n}\right\}
M=N,A C=4
T_{n},T_{n}
"Q(-1, y)","(-\infty, a)"
h(x) \geqslant 0,"(-\infty, a)"
f(. x),(x)
f(x),"(-\infty, a)"
15 \%,\sqrt{3}+1
|M N|,A C \perp B C
O_{2},S_{5}
a_{m+n}=0,a_{n}\right\}
n \overrightarrow{A N},T_{n}
z=-1+2 i,\ln |x-y|<0
"(0, m)",\left\{a_{n}\right\}
x_{0},\sqrt{3}
y_{1}=1,"[0,1]"
2 x-y \geqslant-1,A C=x-
20,"(-\infty, a)"
"m \in[3,4]",60 \sim 65
x>1,x_{1}
a>b>0,"(-\infty, a)"
\triangle A B C,\triangle B P Q
f(x),f(x)
\sin \alpha+\cos \alpha,\ln |x-y|<0
B C D E,\left\{a_{n}\right\}
a_{7}=,a_{i}=
c<\frac{1}{4},c<\frac{1}{4}
p>0,\sqrt{3}
A_{1},\boldsymbol{e}_{1}
"[1,+\infty)",\left\{a_{n}\right\}
k=-3,c<\frac{1}{4}
-3,-\frac{\pi}{6}
S_{n},\frac{16}{3}
\left\{b_{n}\right\},\left\{a_{n}\right\}
4 \sqrt{5},\sqrt{3}
\triangle A B C,\triangle A B C
a_{3},a_{i}=
S_{n},S_{5}
\text { (4) },\sqrt{3}
\sqrt{3},\left\{a_{n}\right\}
y=f(x),y=f(x)
a,-\frac{3}{2}
\forall x>0,"(-\infty, a)"
P^{\prime},A D_{1}
p \wedge q,A C=4
"(1,2)","(0,1)"
f(x),(x)
\left\{b_{n}\right\},\left\{a_{n}\right\}
C_{2},c_{m}
"[0,+\infty)","[60,70]"
x_{2},\sqrt{3}
"[50,60)","[60,70]"
\triangle A B P,\triangle A B C
24 \pi,\sqrt{3}+1
f\left(2^{m}\right),f(x)
A B_{1},A D_{1}
e^{a-1},c<\frac{1}{4}
A-C E-D,"(-\infty, a)"
\left\{a_{n}\right\},\left\{a_{n}\right\}
\sin \alpha=,\left\{a_{n}\right\}
y=,y=x
"[0,8]","[0,1]"
0<a<1,\{2+4 i
T_{n},\left\{a_{n}\right\}
"M, N",c<\frac{1}{4}
\pi,A C=4
C_{2},"(0,1)"
A B,\boldsymbol{e}_{1}
f(x)=,"(0,1)"
\left\{a_{n}\right\},\left\{a_{n}\right\}
\triangle P Q G,\triangle A B C
"B=\{2,4\}",\left\{a_{n}\right\}
p_{3},A D_{1}
x<0,>0
\sin \theta,\ln |x-y|<0
\alpha \perp \beta,y=\sin x
A B,T_{n}
i=i+2,F_{1}
S_{n},\frac{16}{3}
\overrightarrow{A D},\left\{a_{n}\right\}
c=b-4,c<\frac{1}
a / / b,m / / n
-1-2 i,"[1,3]"
"A(0,0,1)",60 \sim 65
"A(0,2)","(-\infty, a)"
F_{1},\boldsymbol{F}_{1}
\triangle A D E,\triangle A B C
\sqrt{3},\sqrt{3}
2^{k}+1,c<\frac{1}{3}
\left\{a_{n}\right\},\left\{a_{n}\right\}
f(x)>-1,A C=4
"(-1,1)","(-\infty, a)"
a=,\sqrt{3}
B C,\triangle B C C
F_{2},T_{n}
x)^{7},a_{n}\right\}
"[0,6]","[0,1]"
"M(1,0)","(-\infty, a)"
k_{0},\left\{a_{n}\right\}
l,A D_{1}
M,T_{n}
|b|=,"[0,1]"
i=n-1,\boldsymbol{F}_{1}
i>4 ?,c_{m}
p_{0},S_{5}
|m-n|,\left\{a_{n}\right\}
x_{11},\frac{16}{3}
x,T_{n}
\overrightarrow{P C} \mid,c<\frac{1}{4}
\left\{a_{n}\right\},\left\{a_{n}\right\}
a \neq 0,60 \sim 65
"[80,90)",60 \sim 65
f(f(-1)),60 \sim 65
|\boldsymbol{a}|=,\triangle B P Q
(-\infty,"(-\infty, a)"
y \geqslant 4,A B=2
"(0,1)","(0,1)"
g(x),f(x)
"A, \omega",\left\{a_{n}\right\}
\left\{a_{n}\right\},\left\{a_{n}\right\}
x() y,f(x)
\triangle A C D,\triangle A B C
C_{2},(x)
p=p_{1},\left\{a_{n}\right\}
B E=2 E A,\sqrt{3}+1
"(1,5)",\left\{a_{n}\right\}
40 \%,80 \%
x \ln x \geqslant 1,y=\sin x
|f(x)|>1,60 \sim 65
S_{n},\frac{\pi}{3}
\triangle A B C,\triangle A B C
b<c<a,c<\frac{1}{4}
a_{1},\frac{16}{3}
\beta,-\frac{3}{2}
\left\{a_{n}\right\},\left\{a_{n}\right\}
y=f(x),y=f(x)
"[40,50)",60 \sim 65
c>a>b,"(-\infty, a)"
P A=2,c<\frac{1}{4}
\widehat{C D},5(x)
a>0,>0
\triangle A D E,\triangle A B C
x+,-\frac{\pi}{6}
C_{B},T_{n}
-\frac{9}{25},-\frac{\pi}{3}
(a+b) \perp,\ln |x-y|<0
\cos C,60 \sim 65
A B=1,A B C=2
\tan \alpha,\triangle A B C
a=2 b,"(-\infty, a)"
"(-1,2)","(0, B)"
150^{\circ},"[0,1]"
C B F,5(x)
"x \in[-1,1)",\ln |x-y|<0
a>b,A C=4
S \cup T,(x)
"[40,50)",60 \sim 65
T_{n},T_{n}
\triangle A B C,\triangle A B C
"A(-2,1)",60 \sim 65
=0,\sqrt{3}
\eta,\left\{a_{n}\right\}
x_{2},\left\{a_{n}\right\}
\left\{a_{n}\right\},\left\{a_{n}\right\}
P B,\left\{a_{n}\right\}
540^{\circ},60 \sim 65
"(a, b)","(-\infty, a)"
|P Q|,"[60,70]"
\lambda,\boldsymbol{F}_{1}
"(0, \mathrm{e})","(0,1)"
-2<a<0,\triangle B C=
b>3,c<\frac{1}{4}
A C \perp B C,60 \sim 65
"E, M, N",A C \perp B C
"N(7,0)","(-\infty, a)"
a \perp,A D_{1}
\frac{\pi}{2},\frac{\pi}{3}
"(0,+\infty)",\ln |x-y|<0
c>b>a,c<\frac{1}{4}
a_{1}=1,"[0,1]"
"x \in[-1,1]","[t, t+1]"
k=,y=\sin x
\frac{2}{5},\frac{\pi}{3}
"(0,2)","(0,1)"
\triangle A B C,\triangle A B C
"(1,+\infty)",\ln |x-y|<0
"(m, 1)","(-\infty, a)"
x=1,y+5=0
f(x),f(x)
r>0.9,5(3+\sqrt{3})
(A>0),"(-\infty, a)"
\sqrt{5},\sqrt{3}
\left\{a_{n}\right\},\left\{a_{n}\right\}
|\boldsymbol{a}|=,"[0,1]"
n=6,\left\{a_{n}\right\}
O P \perp M N,\ln |x-y|<0
\text { BI) },y)
\ln x,"[1,3]"
P_{4},\sqrt{3}
\left\{a_{n}\right\},\left\{a_{n}\right\}
f(x+\pi),\left\{a_{n}\right\}
x>f(x),y=\sin x
6.82 \%,60 \sim 65
a_{n},T_{n}
\Lambda_{1},T_{n}
\triangle A B C,\triangle A B C
k>0,\sqrt{3}
"[-1,2]","[0,1]"
a \in(1.6),60 \sim 65
\beta<\alpha<\gamma,c<\frac{1}{4}
f(x) \geqslant 0,60 \sim 65
f(x),f(x)
y=x,\boldsymbol{e}_{1}
"A, B, C",\left\{a_{n}\right\}
f(x),80 \%
"(0,+\infty)","(-\infty, a)"
\frac{11}{32},\frac{1}{3}
\left\{a_{n}\right\},\left\{a_{n}\right\}
-\frac{3}{2},-\frac{\pi}{6}
"F(3,0)","(-\infty, a)"
\left\{a_{n}\right\},\left\{a_{n}\right\}
\sin (\alpha+\beta)=,"5(-\infty, a)"
\sqrt{2},\sqrt{3}
B M=E N,\sqrt{3}+1
B C=7,"\{2,3+4\}"
"(2,3)","(0,1)"
p=,a_{i}=
\left\{a_{n}\right\},\left\{a_{n}\right\}
m=2,T_{n}
x=0,\boldsymbol{e}_{1}
P-,z=
x=\frac{\pi}{6},-\frac{\pi}{3}
S_{m},\frac{1}{3}
f(x),f(x)
x^{5},T_{n}
\left\{a_{n}\right\},\left\{a_{n}\right\}
P(B),(x)
\frac{1}{4},\frac{1}{3}
"[3,4]",c<\frac{1}{4}
a_{1}=1,c<\frac{1}{4}
\triangle A B C,\triangle A B C
S_{2018}=,a_{i}=
"[0,+\infty)",\ln |x-y|<0
\frac{5}{18},\frac{1}{3}
\cos 2 \alpha=,\ln |x-y|<0
x-2 y+6=0,A C=4
x(),c<\frac{2}{3}
x,\left\{a_{n}\right\}
\alpha \perp \beta,\triangle B P Q
\frac{1}{3},\frac{\pi}{3}
x=1,c<\frac{1}{4}
+\infty),"(-\infty, a)"
\left\{a_{n}\right\},\left\{a_{n}\right\}
"[40,50)",60 \sim 65
150^{\circ},\ln |x-y|<0
a=,\left\{a_{n}\right\}
y=2 x+1,\ln |x-y|<0
B=A,c_{m}
=0,"5(0,1]"
\left\{a_{n}\right\},\left\{a_{n}\right\}
\sqrt{2},\sqrt{3}
\left\{a_{n}\right\},\left\{a_{n}\right\}
\frac{1}{4},\frac{16}{3}
y=f(x),"(-\infty, a)"
S_{n}=,a_{i}=
"[165,170]",\ln |x-y|<0
S_{n},T_{n}
C_{1} P,"(0,1)"
"1,2, \cdots, n",\left\{a_{n}\right\}
f(x),f(x)
"\boldsymbol{\theta}, m",\left\{a_{n}\right\}
y=-x+1,x+y+8=x y
a b<0,\triangle B C)
\frac{4}{5},\frac{\pi}{3}
\frac{2}{3},\frac{16}{3}
D(\xi),"(-\infty, a)"
\frac{3 \pi}{4},\frac{\pi}{3}
\left\{a_{n}\right\},\left\{a_{n}\right\}
A I=5,\ln |x-y|<0
x \geqslant 0,\sqrt{3}
"[2,+\infty)",\ln |x-y|<0
\left\{a_{n}\right\},\left\{a_{n}\right\}
A=2 B,\ln |x-y|<0
\left\{c_{n}\right\},\left\{a_{n}\right\}
y=-2 x+4,\ln |x-y|<0
c=1,z=
y=4 x^{2},y=\sin x-
P F_{1},F_{1}
C_{1},S_{5}
x=0,"[0,1]"
"[-1,0)","[1,3]"
"A(1,-a)",A C=4
S_{n},\frac{16}{3}
|I M|,\neg p
a_{2}>0,S_{5}
a / / \alpha,m / / n
"\{2,3\}",\left\{a_{n}\right\}
30 \%,60 \sim 65
c=,z=
"[64.5,65]",60 \sim 65
b_{n},\left\{a_{n}\right\}
\sqrt{5},\sqrt{3}
-\frac{4}{5},-\frac{\pi}{6}
y=x-1,A C=4
A_{i},T_{n}
\mathbf{N},"\{2,3,4\}"
a \cdot b \cdot c,\left\{a_{n}\right\}
\triangle A B C,\triangle A B C
z=2 x+y,\left\{a_{n}\right\}
|z|,\boldsymbol{e}_{1}
a<b<c,60 \sim 65
a \cdot b=0,\left\{a_{n}\right\}
f(x)>0,\triangle B C C
"(0,2)","(0,1)"
"(0, \sqrt{3})",\left\{a_{n}\right\}
B C=100,\ln |x-y|<0
l \subset_{\alpha},\ln |x-y|<0
"(1,+\infty)",\left\{a_{n}\right\}
a_{1}=-1,a_{i}=
"(0,+\infty)",\ln |x-y|<0
f(x),f(x)
a=8,\sqrt{3}+1
\frac{3}{20},"[1,3]"
S_{n},T_{n}
A \cap B=,"[60, a)"
n \geqslant 2,T_{n}
|A B|,T_{n}
c>1,\boldsymbol{e}_{1}
A D,\triangle A B C
k_{2},A D_{1}
"[-1,2]","[0,1]"
P-A B C D,"[60,70]"
A B C D,\triangle A B C
\left\{a_{n}\right\},\left\{a_{n}\right\}
\rho=4 \sin \theta,y+5=\sin x)
\left\{a_{n}\right\},\left\{a_{n}\right\}
\frac{4}{5},\frac{\pi}{3}
e=2,z=
\sqrt{2},\sqrt{3}
"[20,30)",60 \sim 65
A \oplus,\ln |x-y|<0
B_{1},\boldsymbol{F}_{1}
4 t-t^{2},y=\sin x
y=k x+2,\ln |x-y|<0
b<c<a,60 \sim 65
"(-3,1]","[1,3]"
f(1)=2,"(-\infty, a)"
x=-7,y=\sin x
f(1),"(-\infty, a)"
\sqrt{3},\neg p
\left\{a_{n}\right\},\left\{a_{n}\right\}
\triangle A B C,\triangle A B C
a>b>0,y=\sin x)
A B C-,a_{n}\right\}
f(99),"(-\infty, a)"
i=i+1,F_{1}
"(0,1000]",\ln |x-y|<0
A B C D,60 -
P-A B C,\ln |x-y|<0
c<a<b,c<\frac{1}{4}
x+y=1,\ln |x-y|<0
(1.2),"(-\infty, a)"
|\boldsymbol{b}|=1,"[0,1]"
: y=2 x+1,x+y+8=x y
"[0,1]","[0,1]"
y=f(x),A C=4
f(x),f(x)
a_{1},\sqrt{3}+1
n=n+1,"[0,1]"
A B=4,\boldsymbol{e}_{1}
P D=,\ln |x-y|<0
0<x<2,y)
\triangle A B C,\triangle B P Q
2 \sqrt{7},\sqrt{3}
"t \in(1,+\infty)","(-\infty, a)"
p>0,\sqrt{3}+1
"A(-2,1)",60 \sim 65
g(0)=0,"(-\infty, a)"
\frac{20}{27},5(3+\sqrt{3})
a b=1,\ln |x-y|<0
m_{A},\left\{a_{n}\right\}
"(-3,0]","(0,1)"
p \wedge,T_{n}
"x \in[2,4]","[60,70]"
A A_{1},y=\sin x
y=-1,-\frac{\pi}{6}
"(1,+\infty)",60 \sim 65
8 \sqrt{3} \pi,\left\{a_{n}\right\}
g(x),f(x)
"(2,-4)","(-\infty, a)"
P(\xi>2)=,\ln |x-y|<0
-3 \pi,\left\{a_{n}\right\}
A \cap B,A C=4
y^{2}=4 x,y=\sin x
x() y,f(x)
"(0,+\infty)",\ln |x-y|<0
3^{a}=5,a_{i}=
x>2,y=\sin x
"P(1,0)","(-\infty, a)"
1,A D_{1}
\left\{a_{n}\right\},\left\{a_{n}\right\}
\frac{\pi}{2},-\frac{\pi}{6}
"\{-3,3\}",\left\{a_{n}\right\}
"[0, \sqrt{2}]","[60,70]"
4 \pi,-\frac{3}{2}
\left\{a_{n}\right\},\left\{a_{n}\right\}
z^{2} \geqslant 0,S_{5}
a \perp b,5(3+\sqrt{3})
10^{3.3},"(-\infty, a)"
"(0,3)","(0,1)"
y=f(x),c<\frac{1}{4}
x \in,x \in
|\boldsymbol{a}|=1,a_{i}=
C_{1},\frac{16}{3}
S_{n},\left\{a_{n}\right\}
\frac{2}{3},\frac{16}{3}
\frac{3}{2},\frac{\pi}{3}
a f(a)+,-\frac{\pi}{6}
D_{1},"\{2, D_{1}"
y^{2}=4 x,A C=4
"\alpha, \beta",\sqrt{3}+1
0,"(0,1)"
\sqrt{3},\sqrt{3}
"A(2,0)","(-\infty, a)"
"(3,-1)",(x)
y^{2}=2 x,y=f(x)
"(20,24)","(-\infty, a)"
f(x)=,"(0,1)"
"a \in(0,2)",60 \sim 65
z_{1},\frac{16}{3}
\frac{7}{8},\frac{\pi}{3}
k \geqslant 4,c_{m}
\frac{\pi}{4},\frac{\pi}{3}
"(1,+\infty)","(0, a)"
b=,T_{n}
m=\frac{4}{3},-\frac{\pi}{6}
"A, B",A D_{1}
\frac{a+c}{b},e=\frac{2}{3}
"(3, a+3)","(-\infty, a)"
D E,\sqrt{3}+1
x^{2}>x+1,c<\frac{1}{4}
x+y-2=0,\ln |x-y|<0
f(x),f(x)
\triangle A B C,\triangle A B C
\frac{\pi}{6},\frac{16}{3}
f(x),f(x)
h(a),\left\{a_{n}\right\}
x=a,\ln |x-y|<0
"\{1,4\}",-\frac{\pi}{3}
30^{\circ},60 \sim 65
"(0,+\infty)","(-\infty, a)"
"(a, 4)","(0, a)"
A B C D,\triangle B P Q
"(-\infty),+\infty)",\ln |x-y|<0
f(x),f(x)
P-A F-E,y=\sin x
1<x_{1}<2,y=\sin x
"[95,105)",\ln |x-y|<0
g(x),g(x)
S_{<},(x)
f(x),f(x)
y=x^{n+1},y=\sin x-
"P(x, y)","(-\infty, a)"
f(x),f(x)
\sqrt{2},\sqrt{3}
f(x),(x)
|D E|,"[0,1]"
a+c>b+d,60 \sim 65
\omega=5,S_{5}
t \in \mathbf{R},\ln |x-y|<0
f(|x|)>0,M \cup N=
A B=B E,A B C=2
\Delta A B C,\triangle A B C
10 \%,\ln |x-y|<0
y=-2 x,a_{i}=
\left\{a_{n}\right\},\left\{a_{n}\right\}
a<b<c,60 \sim 65
x=-1,c<\frac{1}{4}
\sqrt{2},\sqrt{3}
\frac{1}{9}-,A C \perp B C
\sin B=m \sin C,\ln |x-y|<0
"\{2,4,6\}",\ln |x-y|<0
y=,z=
S_{n},T_{n}
\text { 1) },\boldsymbol{e}_{1}
f(1+x)=,"(-\infty, a)"
\frac{\pi}{4},\frac{16}{3}
y=,y=\sin x
\left\{a_{n}\right\},\left\{a_{n}\right\}
S_{n},S_{5}
f(x),y+5=0
a<0,"5(0,1]"
"[0,4]","(0,1)"
"M(5,0)","(-\infty, a)"
"[-1,",c<\frac{1}{4}
2 n,\left\{a_{n}\right\}
P(X>12)=m,\ln |x-y|<0
x+y>2,\left\{a_{n}\right\}
a_{1}=2,\left\{a_{n}\right\}
\frac{1}{2},\frac{1}{3}
\frac{1}{4},\frac{16}{3}
45^{\circ},\sqrt{3}+1
x_{2},S_{5}
"D, E","(-\infty, a)"
y^{2}=2 x,\ln |x-y|<0
f(x),f(x)
\alpha / / \gamma,m / / n
"(75,115]","[60,70]"
\boldsymbol{a},\boldsymbol{e}_{1}
A-B C D,"(-\infty, a)"
\boldsymbol{a}_{7},S_{5}
\frac{1}{3},\frac{\pi}{3}
f(x),f(x)
9 \%,\ln |x-y|<0
y=\sqrt{3} x,-\frac{\pi}{6}
"[0,1]","[0,1]"
"(-1,+\infty)","(-\infty, a)"
f(x),f(x)
S_{n},T_{n}
a=0,"(0,1)"
\triangle A B C,\triangle A B C
a=0,T_{n}
6.5 \mathrm{~m},"[60,70]"
f^{\prime}(x),(x)
k=1,A D_{1}
\mathrm{S} \geqslant 28,5(3+\sqrt{3})
